# compound_verbs.tsv -- noun <TAB> light-verb infinitive. One row per two-token
# Persian compound verb, derived from the pinned wty-fa-en build (English
# Wiktionary via wiktionary-to-yomitan / kaikki.org), CC BY-SA 4.0. The second
# column is always an infinitive present in hazm's verbs.dat.
رنگ	زدن
رها	کردن
رهسپار	کردن
رو	آوردن
روانه	کردن
روایت	کردن
روزه	گرفتن
روشن	کردن
رونمایی	کردن
روی	دادن
رژیم	گرفتن
ریتوییت	کردن
ریشه	دواندن
زانو	زدن
زایمان	کردن
زحمت	کشیدن
زر	زدن
زل	زدن
زمزمه	کردن
زمین	خوردن
زندگی	کردن
زنگ	زدن
زوم	کردن
زیر	گرفتن
سؤال	کردن
سازگار	شدن
سانسور	کردن
ساپورت	کردن
ساک	زدن
سبز	شدن
ستایش	کردن
سخت	گرفتن
سخن	گفتن
سر	خوردن
سر	رفتن
سر	زدن
سر	کردن
سر	کشیدن
سراغ	گرفتن
سرفه	کردن
سرقت	کردن
سرما	خوردن
سرمایه‌گذاری	کردن
سرپوش	گذاشتن
سعی	کردن
سفارش	دادن
سفر	کردن
سفید	داشتن
سفید	کردن
سقوط	کردن
سلام	رساندن
سلام	کردن
سوار	شدن
سوار	کردن
سوتی	دادن
سوق	دادن
سوگواری	کردن
سپاسگزار	بودن
سپری	کردن
سیخ	خوردن
سیخ	زدن
سیل	کردن
سین	کردن
سیو	کردن
سیگار	کشیدن
شامل	شدن
شاهد	بودن
شاور	گرفتن
شباهت	داشتن
شرح	دادن
شروع	شدن
شروع	کردن
شرکت	کردن
شفا	دادن
شق	کردن
شلیک	کردن
شماره	گرفتن
شنا	کردن
شناسایی	کردن
شناور	بودن
شهمات	کردن
شکار	کردن
شکایت	کردن
شکست	دادن
شکل	دادن
شکل	گرفتن
شکنجه	دادن
شکنجه	کردن
شکوفه	دادن
شید	کردن
شیرین	کردن
صادر	کردن
صبر	کردن
صحبت	کردن
صدا	کردن
صدق	کردن
صدمه	دیدن
صدمه	زدن
صرف	کردن
صورت	پذیرفتن
صورت	گرفتن
ضامن	شدن
طاقت	آوردن
طاقت	داشتن
طراحی	کردن
طرفداری	کردن
طلاق	دادن
طلب	کردن
طناب	زدن
طول	کشیدن
ظهور	کردن
عادت	دادن
عادت	کردن
عاشق	بودن
عایق	کردن
عبادت	کردن
عبور	کردن
عرض	کردن
عرق	کردن
عزیز	داشتن
عشق	ورزیدن
عطسه	کردن
عفو	کردن
عفونت	کردن
عقب	ماندن
علاقه	داشتن
عمل	کردن
عوض	شدن
عوض	کردن
عکس	گرفتن
غرق	کردن
غریبی	کردن
غسل	کردن
غش	کردن
غصه	خوردن
غلط	بودن
غلط	کردن
غیب	شدن
فارغ‌التحصیل	شدن
فال	گرفتن
فالو	کردن
فرار	کردن
فراموش	کردن
فراهم	کردن
فرض	کردن
فرق	داشتن
فرق	کردن
فرو	رفتن
فرو	ریختن
فرو	نشاندن
فرو	کردن
فرود	آمدن
فریاد	خواستن
فریاد	رسیدن
فریاد	زدن
فریاد	کردن
فشار	دادن
فضولی	کردن
فوت	کردن
فوران	کردن
فکر	کردن
فیوت	کردن
قائل	شدن
قانون‌گذاری	کردن
قبا	کردن
قبضه	کردن
قبول	کردن
قتل	کردن
قرار	دادن
قرار	شدن
قرار	گرفتن
قرض	دادن
قسمت	کردن
قصد	کردن
قضاوت	کردن
قطع	کردن
قفل	کردن
قلقلک	دادن
قلم	کردن
قهر	کردن
قورت	دادن
لازم	داشتن
لاف	زدن
لب	گرفتن
لبخند	زدن
لحاظ	کردن
لحیم	کردن
لخته	شدن
لذت	بردن
لطف	کردن
لغو	کردن
لفت	دادن
لم	دادن
لمس	کردن
له	شدن
لو	دادن
لوت	کردن
لیز	خوردن
مانع	شدن
ماچ	کردن
مبارزه	کردن
مبدل	شدن
متحد	کردن
متحمل	شدن
متحول	کردن
متحیر	کردن
متشکر	بودن
متصل	کردن
متعلق	بودن
متقاعد	کردن
متهم	کردن
متوسل	شدن
متوقف	شدن
متوقف	کردن
متولد	شدن
مثال	زدن
مجازات	کردن
مجبور	کردن
مجروح	شدن
مجروح	کردن
محاصره	شدن
محسوب	شدن
